#fname,lanme,Position,Number,College,DOB,Hand,Weight,Height,BodyType,Skin,Face,Dreads,Helmet,FaceMask,FaceShield,EyeBlack,MouthPiece,LeftGlove,RightGlove,LeftWrist,RightWrist,LeftElbow,RightElbow,Sleeves,LeftShoe,RightShoe,NeckRoll,Turtleneck
Patrick,Willis,ILB,52,Ole Miss,1/25/1985,Right,240,6' 1",Normal,Skin 4,Face 9,No,Standard,Type 12,Clear,No,No,Team 3,Team 3,Neoprene Small,Neoprene Small,None,None,None,Style 3,Style 3,None,Non
Colin,Kaepernick,QB,7,Nevada,11/3/1987,Right,230,6' 4",Normal,Skin 2,Face 3,No,Revolution,Type 3,None,No,No,Team 4,None,Quarterback,Single White,None,None,None,Style 3,Style 3,None,Non
Anquan,Boldin,WR,81,Florida State,10/3/1980,Right,220,6' 1",Normal,Skin 5,Face 6,No,Standard,Type 5,Clear,Yes,No,Type 2,Type 2,Double Black,Double Black,None,None,None,Style 6,Style 6,None,Non
Dan,Skuta,OLB,51,None,4/21/1986,Right,250,6' 2",Normal,Skin 1,Face 2,No,Standard,Type 7,None,No,No,Team 3,Team 3,Neoprene Small,Neoprene Small,None,None,None,Style 6,Style 6,None,Non
Craig,Dahl,SS,43,North Dakota State,6/17/1985,Right,212,6' 1",Normal,Skin 1,Face 7,No,Standard,Type 7,None,No,No,Team 2,Team 2,Double Black,Double Black,None,None,None,Style 6,Style 6,None,Non
Phil,Dawson,K,9,Texas,1/23/1975,Right,200,5' 11",Normal,Skin 17,Face 2,No,Standard,Type 2,None,No,No,None,None,None,None,None,None,None,Style 6,Style 6,None,Non
Quinton,Patton,WR,11,Louisiana Tech,8/9/1990,Right,204,6 '0",Normal,Skin 3,Face 3,No,Standard,Type 5,Clear,No,No,Team 4,Team 4,None,None,None,None,None,Style 6,Style 6,None,Whit
Vance,McDonald,TE,89,Rice,6/13/1990,Right,267,6' 4",Large,Skin 1,Face 12,No,Revolution,Type 7,None,No,No,Team 3,Team 3,None,None,High Black,High Black,None,Style 4,Style 4,None,Non
Corey,Lemonier,OLB,96,Auburn,11/19/1991,Right,255,6' 3",Large,Skin 3,Face 6,No,Revolution,Type 7,Clear,No,No,Team 2,Team 2,Neoprene Small,Neoprene Small,None,None,None,Style 1,Style 1,None,Non
Eric,Reid,FS,35,Louisiana State,12/10/1991,Right,213,6' 1",Normal,Skin 3,Face 6,No,Standard,Type 17,None,No,Yes,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,Non
Michael,Wilhoite,ILB,57,None,12/7/1986,Right,240,6 '0",Normal,Skin 2,Face 6,No,Revolution,Type 26,None,No,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,Non
Tony,Jerod-Eddie,DE,63,Texas A&M,3/29/1990,Right,301,6' 5",Large,Skin 3,Face 10,No,Revolution,Type 24,None,No,No,Type 2,Type 2,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,Non
Michael,Crabtree,WR,15,Texas Tech,9/14/1987,Right,214,6' 1",Normal,Skin 3,Face 1,No,Standard,Type 5,None,No,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,Whit
Quinton,Dial,DT,92,Alabama,7/21/1990,Right,318,6' 5",Large,Skin 4,Face 4,No,Revolution,Type 6,None,No,No,Team 4,Team 4,Taped Small,Taped Small,None,None,None,Style 1,Style 1,None,Non
Perrish,Cox,CB,20,Oklahoma State,1/7/1987,Right,190,6 '0",Normal,Skin 4,Face 2,No,Standard,Type 5,None,No,No,Team 1,Team 1,Neoprene Small,Neoprene Small,None,None,None,Style 3,Style 3,None,Non
Bruce,Miller,FB,49,Central Florida,8/6/1987,Right,248,6' 2",Large,Skin 1,Face 7,No,Standard,Type 7,None,No,No,Team 3,Team 3,Single White,Single White,None,None,None,Style 6,Style 6,None,Non
Ian,Williams,DT,93,Notre Dame,8/31/1989,Right,305,6' 1",Large,Skin 4,Face 7,Yes,Standard,Type 6,Clear,No,No,Team 2,Team 2,Neoprene Small,Neoprene Small,None,None,None,Style 3,Style 3,None,Non
Chris,Culliver,CB,29,South Carolina,8/17/1988,Right,199,6 '0",Normal,Skin 3,Face 10,No,Standard,Type 2,None,No,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,Non
Blaine,Gabbert,QB,2,Missouri,10/15/1989,Right,235,6' 4",Normal,Skin 1,Face 5,No,Revolution,Type 2,None,No,No,None,None,Single Black,Single Black,None,None,None,Style 4,Style 4,None,Non
Jonathan,Martin,T,71,Stanford,8/19/1989,Right,312,6' 5",Large,Skin 2,Face 3,No,Revolution,Type 6,None,No,No,Type 1,Type 1,Taped Small,Taped Small,None,None,None,Taped,Taped,None,Non
Chris,Cook,CB,22,Virginia,2/15/1987,Right,212,6' 2",Normal,Skin 4,Face 2,No,Standard,Type 5,None,Yes,No,Team 2,Team 2,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,Non
Antoine,Bethea,SS,41,Howard,7/27/1984,Right,206,5' 11",Normal,Skin 4,Face 13,No,Standard,Type 5,Clear,No,No,Type 4,Type 4,Single Black,Single Black,None,None,None,Style 6,Style 6,None,Non
Tank,Carradine,DE,95,Florida State,2/18/1989,Right,273,6' 4",Large,Skin 4,Face 4,No,Standard,Type 14,None,No,No,Team 4,Team 4,Neoprene Small,Neoprene Small,None,None,None,Style 6,Style 6,None,Non
Steve,Johnson,WR,13,Kentucky,7/22/1986,Right,207,6' 2",Normal,Skin 4,Face 5,No,Standard,Type 5,Clear,No,Yes,Team 2,Team 2,Taped Small,Taped Small,High White,High White,None,Style 6,Style 6,None,Non
Jimmie,Ward,FS,25,Northern Illinois,7/18/1991,Right,191,5' 11",Normal,Skin 4,Face 5,No,Standard,Type 3,None,No,Yes,Team 3,Team 3,Neoprene Small,Neoprene Small,None,None,None,Style 3,Style 3,None,Non
Carlos,Hyde,RB,28,Ohio State,9/20/1991,Right,235,6 '0",Normal,Skin 3,Face 5,No,Standard,Type 5,None,No,Yes,Team 3,Team 3,None,None,High Black,High Black,None,Style 6,Style 6,None,Non
Marcus,Martin,C,66,USC,11/29/1993,Right,310,6' 3",Large,Skin 4,Face 10,No,Standard,Type 10,None,No,No,Team 3,Team 3,Neoprene Small,Neoprene Small,Neoprene,Neoprene,None,Taped,Taped,None,Non
Chris,Borland,ILB,50,Wisconsin,4/2/1991,Right,245,6 '0",Normal,Skin 1,Face 5,No,Revolution,Type 7,None,Yes,No,Team 3,Team 3,Neoprene Small,Neoprene Small,None,None,None,Style 2,Style 2,None,Non
Bruce,Ellington,WR,10,South Carolina,8/22/1991,Right,196,5' 9",Normal,Skin 4,Face 7,No,Standard,Type 5,Clear,No,Yes,Team 2,Team 2,None,None,None,None,None,Style 5,Style 5,None,Non
Dontae,Johnson,CB,36,North Carolina State,12/1/1991,Right,199,6' 2",Normal,Skin 3,Face 1,No,Revolution,Type 5,Clear,No,No,Team 3,Team 3,Elastic Large,Elastic Large,None,None,None,Style 6,Style 6,None,Non
Brandon,Lloyd,WR,84,Illinois,7/5/1981,Right,200,6 '0",Skinny,Skin 6,Face 6,No,Standard,Type 2,None,No,No,Team 3,Team 3,None,None,None,None,White,Style 3,Style 3,None,Non
Aaron,Lynch,OLB,59,South Florida,3/8/1993,Right,244,6' 6",Normal,Skin 2,Face 2,No,Standard,Type 6,None,No,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,Non
Alex,Boone,G,75,Ohio State,5/4/1987,Right,300,6' 8",Large,Skin 1,Face 15,No,Revolution,Type 23,None,No,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,Non
Derek,Carrier,TE,46,None,7/25/1990,Right,241,6' 4",Normal,Skin 1,Face 4,No,Standard,Type 2,None,No,No,Team 2,Team 2,None,None,None,None,None,Style 4,Style 4,None,Non
Dillon,Farrell,G,56,New Mexico,9/7/1990,Right,303,6' 5",Large,Skin 1,Face 5,No,Standard,Type 6,None,No,No,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Taped,Taped,None,Non
Joe,Looney,G,78,Wake Forest,8/31/1990,Right,315,6' 3",Large,Skin 3,Face 11,No,Standard,Type 10,None,No,No,Team 3,Team 3,Neoprene Small,Neoprene Small,High Black,High Black,None,Style 1,Style 1,None,Non
DeMarcus,Dobbs,DE,83,Georgia,11/30/1987,Right,282,6' 2",Normal,Skin 4,Face 14,No,Standard,Type 6,None,No,No,Team 3,Team 3,Neoprene Small,Neoprene Small,None,None,None,Style 3,Style 3,None,Non
Nick,Moody,ILB,54,Florida State,1/29/1990,Right,236,6' 1",Normal,Skin 4,Face 9,No,Revolution,Type 5,Clear,Yes,No,None,None,Neoprene Small,Neoprene Small,None,None,None,Style 1,Style 1,None,Non
L.J.,McCray II,FS,31,None,6/18/1991,Right,210,6 '0",Normal,Skin 3,Face 6,No,Standard,Type 5,None,No,Yes,Team 2,Team 2,Double Black,Double Black,None,None,White,Style 3,Style 3,None,Non
Kyle,Nelson,TE,86,New Mexico State,10/3/1986,Right,240,6' 2",Normal,Skin 1,Face 5,No,Revolution,Type 7,None,No,No,None,None,Neoprene Small,Neoprene Small,High White,High White,None,Style 1,Style 1,None,Non
Kassim,Osgood,WR,14,San Diego State,5/20/1980,Right,220,6' 5",Normal,Skin 4,Face 4,No,Standard,Type 5,None,No,No,Team 4,Team 4,Single White,Single White,None,None,None,Style 1,Style 1,None,Non
Ray,Ventrone,SS,44,Villanova,10/21/1982,Right,200,5' 10",Normal,Skin 1,Face 13,No,Revolution,Type 5,None,No,No,Team 4,Team 4,Taped Small,Taped Small,None,None,None,Style 1,Style 1,None,Non
Tim,Jennings,CB,26,Georgia,12/24/1983,Right,185,5' 8",Normal,Skin 4,Face 6,Yes,Standard,Type 5,Clear,No,No,Team 4,Team 4,None,None,None,None,None,Style 4,Style 4,None,Non
Lance,Briggs,OLB,55,Arizona,11/12/1980,Right,244,6' 1",Normal,Skin 10,Face 2,No,Standard,Type 6,None,No,No,Team 2,Team 2,Double Black,Double Black,High Black,High Black,None,Style 2,Style 2,None,Non
Roberto,Garza,C,63,Texas A&M-Kingsville,3/26/1979,Right,310,6' 2",Large,Skin 10,Face 11,No,Standard,Type 6,None,No,No,Team 2,Team 2,Double Black,Double Black,None,None,None,Style 2,Style 2,None,Non
Stephen,Paea,DT,92,Oregon State,5/11/1988,Right,300,6' 1",Large,Skin 2,Face 15,No,Standard,Type 6,None,No,No,Taped,Taped,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,Non
Jay,Cutler,QB,6,Vanderbilt,4/29/1983,Right,220,6' 3",Normal,Skin 1,Face 2,No,Revolution,Type 2,None,No,No,None,None,None,None,None,None,White,Style 2,Style 2,None,Non
Matt,Forte,RB,22,Tulane,12/10/1985,Right,218,6' 2",Normal,Skin 2,Face 4,No,Standard,Type 7,Clear,Yes,Yes,Team 2,Team 2,Double Black,Double Black,None,None,None,Style 2,Style 2,None,Non
Brandon,Marshall,WR,15,Central Florida,3/23/1984,Right,230,6' 4",Normal,Skin 4,Face 13,No,Standard,Type 2,Clear,No,No,Team 3,Team 3,None,None,None,None,None,Style 6,Style 6,None,Non
Chris,Conte,FS,47,California,2/23/1989,Right,203,6' 2",Normal,Skin 1,Face 2,No,Standard,Type 5,None,Yes,No,Type 2,Type 2,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,Non
Alshon,Jeffery,WR,17,South Carolina,2/14/1990,Right,216,6' 3",Normal,Skin 3,Face 3,No,Revolution,Type 2,None,No,No,Team 2,Team 2,Neoprene Small,Neoprene Small,None,None,None,Style 3,Style 3,None,Non
Shea,McClellin,OLB,50,Boise State,8/1/1989,Right,260,6' 3",Large,Skin 1,Face 2,No,Revolution,Type 7,None,Yes,No,Team 3,Team 3,Neoprene Small,Neoprene Small,None,None,None,Style 6,Style 6,None,Non
Martellus,Bennett,TE,83,Texas A&M,3/10/1987,Right,265,6' 6",Large,Skin 12,Face 12,No,Revolution,Type 7,Clear,No,No,Team 2,Team 2,Double Black,Double Black,None,None,None,Style 3,Style 3,None,Non
Matt,Slauson,G,68,Nebraska,2/18/1986,Right,315,6' 5",Extra Large,Skin 1,Face 3,No,Standard,Type 10,None,No,No,Team 4,Team 4,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,Non
Jermon,Bushrod,T,74,Towson State,8/19/1984,Right,320,6' 5",Large,Skin 4,Face 10,No,Revolution,Type 23,None,No,No,Type 1,Type 1,Double Black,Double Black,None,None,None,Style 3,Style 3,None,Non
Robbie,Gould,K,9,Penn State,12/30/1981,Right,185,6 '0",Normal,Skin 1,Face 2,No,Standard,Type 2,None,No,No,None,None,None,None,None,None,White,Style 2,Style 2,None,Non
Kyle,Long,G,75,Oregon,12/5/1988,Right,313,6' 6",Large,Skin 1,Face 3,No,Standard,Type 6,None,No,No,Team 3,Team 3,Neoprene Small,Neoprene Small,None,None,None,Style 3,Style 3,None,Non
Jordan,Mills,T,67,Louisiana Tech,12/24/1990,Right,316,6' 5",Large,Skin 4,Face 15,No,Revolution,Type 23,None,No,No,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,Non
Jon,Bostic,ILB,57,Florida,5/5/1991,Right,245,6' 1",Normal,Skin 3,Face 9,No,Standard,Type 17,Clear,No,No,Team 1,Team 1,Elastic Large,Elastic Large,High White,High White,None,Style 3,Style 3,None,Whit
Khaseem,Greene,OLB,52,Rutgers,2/4/1989,Right,241,6' 1",Normal,Skin 4,Face 5,Yes,Standard,Type 5,Clear,No,Yes,Team 3,Team 3,Taped Small,Taped Small,High Black,High Black,None,Style 6,Style 6,None,Non
Cornelius,Washington,DE,94,Georgia,9/10/1989,Right,265,6' 4",Large,Skin 4,Face 15,No,Standard,Type 5,None,No,No,Team 4,Team 4,Taped Small,Taped Small,None,None,None,Style 1,Style 1,None,Non
Dante,Rosario,TE,88,Oregon,10/25/1984,Right,242,6' 3",Normal,Skin 2,Face 14,No,Standard,Type 7,None,No,No,Type 1,Type 1,None,None,None,None,None,Style 6,Style 6,None,Non
D.J.,Williams,ILB,58,Miami (Fla.),7/20/1982,Right,242,6' 1",Normal,Skin 4,Face 1,No,Standard,Type 7,Dark,No,No,Team 3,Team 3,None,None,None,None,None,Style 6,Style 6,None,Non
Brian,de la Puente,C,64,California,5/13/1985,Right,306,6' 3",Large,Skin 1,Face 10,No,Standard,Type 8,None,No,No,Type 2,Type 2,Double Black,Double Black,None,None,None,Style 6,Style 6,None,Non
Jared,Allen,DE,69,Idaho State,4/3/1982,Right,270,6' 6",Large,Skin 1,Face 2,No,Standard,Type 7,None,No,No,Team 2,Team 2,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,Non
Lamarr,Houston,DE,99,Texas,6/24/1987,Left,300,6' 3",Large,Skin 5,Face 14,No,Revolution,Type 5,Clear,No,No,Type 2,Type 2,Neoprene Large,Neoprene Large,None,None,None,Style 3,Style 3,None,Non
Willie,Young,DE,97,North Carolina State,9/19/1985,Right,251,6' 4",Large,Skin 4,Face 4,No,Revolution,Type 15,None,No,No,Type 4,Type 4,Neoprene Small,Neoprene Small,None,None,None,Style 1,Style 1,None,Non
Ryan,Mundy,SS,21,West Virginia,2/11/1985,Right,209,6' 1",Normal,Skin 3,Face 2,No,Revolution,Type 5,None,Yes,Yes,Team 3,Team 3,Neoprene Small,Neoprene Small,None,None,None,Style 1,Style 1,None,Whit
Joshua,Morgan,WR,19,Virginia Tech,6/20/1985,Right,220,6' 1",Normal,Skin 5,Face 3,No,Standard,Type 5,Clear,No,No,Team 2,Team 2,None,None,None,None,None,Style 3,Style 3,None,Non
Kyle,Fuller,CB,23,Virginia Tech,2/16/1992,Right,194,6 '0",Normal,Skin 3,Face 5,No,Standard,Type 5,Clear,No,No,Team 4,Team 4,Neoprene Large,Neoprene Large,None,None,None,Style 6,Style 6,None,Non
Ego,Ferguson,DT,95,Louisiana State,9/2/1991,Right,309,6' 2",Large,Skin 4,Face 2,No,Standard,Type 10,None,No,Yes,Team 4,Team 4,Neoprene Small,Neoprene Small,None,None,None,Style 4,Style 4,None,Non
Will,Sutton,DT,93,Arizona State,10/3/1991,Right,315,6' 1",Extra Large,Skin 3,Face 13,Yes,Revolution,Type 6,Clear,No,No,Team 3,Team 3,Double Black,Double Black,High Black,High Black,None,Style 3,Style 3,None,Non
Ka'Deem,Carey,RB,25,Arizona,10/30/1992,Right,207,5' 10",Normal,Skin 4,Face 6,No,Standard,Type 3,None,No,Yes,Type 3,Type 3,Taped Small,Taped Small,None,None,None,Style 4,Style 4,None,Non
Brock,Vereen,FS,45,Minnesota,8/17/1992,Right,202,6 '0",Normal,Skin 3,Face 6,No,Revolution,Type 5,None,No,Yes,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,Non
Pat,O'Donnell,P,16,Miami (Fla.),2/22/1991,Right,220,6' 5",Normal,Skin 1,Face 4,No,Standard,Type 2,None,No,No,None,None,None,None,None,None,None,Style 1,Style 6,None,Non
Jay,Ratliff,DT,90,Auburn,8/29/1981,Right,303,6' 4",Large,Skin 5,Face 13,No,Standard,Type 10,None,No,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,Non
Jimmy,Clausen,QB,8,Notre Dame,9/21/1987,Right,225,6' 3",Normal,Skin 1,Face 2,No,Revolution,Type 3,None,Yes,No,None,None,Neoprene Large,None,None,None,None,Style 6,Style 6,None,Non
Santonio,Holmes,WR,14,Ohio State,3/3/1984,Right,192,5' 11",Normal,Skin 5,Face 5,No,Standard,Type 3,None,Yes,No,Team 3,Team 3,None,None,High Black,High Black,None,Style 3,Style 3,None,Non
Trevor,Scott,DE,76,Buffalo,8/30/1984,Right,260,6' 5",Large,Skin 1,Face 3,No,Revolution,Type 7,None,Yes,No,Type 3,Type 3,Neoprene Large,Neoprene Large,None,None,None,Style 6,Style 6,None,Non
Danny,McCray,SS,29,Louisiana State,3/10/1988,Right,221,6' 1",Normal,Skin 4,Face 3,Yes,Standard,Type 5,None,No,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,Non
Jeremy,Cain,ILB,44,Massachusetts,3/24/1980,Right,245,6' 1",Normal,Skin 1,Face 2,No,Revolution,Type 7,None,Yes,No,Team 3,Team 3,Double Black,Double Black,None,None,None,Style 6,Style 6,None,Non
Senorise,Perry,RB,32,Louisville,9/19/1991,Right,187,6 '0",Normal,Skin 3,Face 1,Yes,Standard,Type 5,None,No,No,Team 2,Team 2,Neoprene Small,Neoprene Small,None,None,None,Style 3,Style 3,None,Non
Michael,Ola,G,70,Hampton,4/19/1988,Right,312,6' 4",Large,Skin 5,Face 3,No,Revolution,Type 23,None,Yes,No,Team 1,Team 1,Neoprene Small,Neoprene Small,None,None,None,Style 6,Style 6,None,Non
Charles,Leno, Jr.,T,72,Boise State,10/9/1991,Right,302,6' 3",Large,Skin 1,Face 13,No,Standard,Type 10,None,No,No,Type 1,Type 1,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,Non
Christian,Jones,OLB,59,Florida State,2/18/1991,Right,240,6' 3",Normal,Skin 4,Face 6,No,Standard,Type 5,Clear,No,No,Taped,Taped,Taped Small,Taped Small,None,None,None,Style 2,Style 2,None,Non
Sherrick,McManis,CB,27,Northwestern,12/19/1987,Right,193,6' 1",Normal,Skin 4,Face 6,No,Standard,Type 5,None,No,No,Team 4,Team 4,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,Non
Ahmad,Dixon,SS,36,Baylor,9/5/1991,Right,205,6 '0",Normal,Skin 3,Face 5,No,Revolution,Type 5,Clear,No,No,Team 3,Team 3,Taped Small,Taped Small,High Team,High Team,None,Style 3,Style 3,None,Non
Eben,Britton,T,62,Arizona,10/14/1987,Right,308,6' 6",Large,Skin 1,Face 3,No,Revolution,Type 23,None,No,No,Type 1,Type 1,Taped Small,Taped Small,None,None,None,Style 1,Style 1,None,Whit
Chris,Williams,WR,82,New Mexico State,9/16/1987,Right,175,5' 8",Skinny,Skin 2,Face 4,No,Revolution,Type 5,None,No,No,Team 2,Team 2,Double Black,Double Black,None,None,None,Style 3,Style 3,None,Non
Darryl,Sharpton,ILB,53,Miami (Fla.),1/1/1988,Right,235,5' 11",Normal,Skin 3,Face 13,No,Revolution,Type 19,None,Yes,No,Team 4,Team 4,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,Non
Demontre,Hurst,CB,30,Oklahoma,3/24/1991,Right,183,5' 10",Normal,Skin 4,Face 2,No,Revolution,Type 5,Clear,No,No,Team 3,Team 3,Neoprene Small,Neoprene Small,None,None,None,Style 3,Style 3,None,Non
Teddy,Williams,CB,24,None,7/3/1988,Right,207,6' 1",Normal,Skin 3,Face 3,No,Standard,Type 5,None,No,No,Team 3,Team 3,Neoprene Small,Neoprene Small,None,None,None,Style 3,Style 3,None,Non
Terrell,Manning,OLB,54,North Carolina State,4/16/1990,Right,237,6' 2",Normal,Skin 4,Face 6,Yes,Standard,Type 7,None,No,No,Team 3,Team 3,Neoprene Small,Neoprene Small,None,None,None,Style 2,Style 2,None,Non
DeDe,Lattimore,OLB,96,South Florida,1/30/1991,Right,237,6' 1",Normal,Skin 4,Face 3,No,Standard,Type 12,None,No,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,Non
Al,Louis-Jean,CB,39,Boston College,10/13/1993,Right,187,6' 1",Normal,Skin 4,Face 1,Yes,Revolution,Type 5,Clear,No,No,Team 2,Team 2,Neoprene Small,Neoprene Small,None,None,None,Style 3,Style 3,None,Non
A.J.,Green,WR,18,Georgia,7/31/1988,Right,207,6' 4",Normal,Skin 5,Face 3,No,Standard,Type 5,None,No,No,Team 2,Team 2,Neoprene Small,Neoprene Small,None,None,None,Style 2,Style 2,None,Non
Reggie,Nelson,FS,20,Florida,9/21/1983,Right,210,5' 11",Normal,Skin 5,Face 6,Yes,Standard,Type 7,Clear,No,No,Team 4,Team 4,None,None,None,None,None,Style 6,Style 6,None,Non
Jermaine,Gresham,TE,84,Oklahoma,6/16/1988,Right,260,6' 5",Normal,Skin 4,Face 9,No,Standard,Type 21,None,Yes,No,Team 1,Team 1,Single White,Single White,None,None,None,Style 6,Style 6,None,Whit
Rey,Maualuga,ILB,58,USC,1/20/1987,Right,255,6' 2",Normal,Skin 2,Face 13,Yes,Standard,Type 6,None,Yes,No,Team 1,Team 1,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,Whit
Carlos,Dunlap,DE,96,Florida,2/28/1989,Right,280,6' 6",Normal,Skin 4,Face 15,No,Revolution,Type 6,None,No,No,Type 3,Type 3,Neoprene Small,Neoprene Small,None,None,None,Style 6,Style 6,None,Whit
Domata,Peko,DT,94,Michigan State,11/27/1984,Right,322,6' 3",Extra Large,Skin 2,Face 14,Yes,Standard,Type 10,None,No,No,Team 3,Team 3,Neoprene Large,Neoprene Large,None,None,None,Style 6,Style 6,None,Non
Andrew,Whitworth,T,77,Louisiana State,12/12/1981,Right,335,6' 7",Large,Skin 1,Face 13,No,Revolution,Type 6,None,No,No,Type 1,Type 1,Taped Small,Taped Small,None,None,None,Style 6,Style 6,None,Non
Andy,Dalton,QB,14,TCU,10/29/1987,Right,220,6' 2",Normal,Skin 1,Face 7,No,Standard,Type 2,None,No,No,None,None,Single Black,Single Black,None,None,None,Style 4,Style 4,None,Non
Adam,Jones,CB,24,West Virginia,9/30/1983,Left,180,5' 10",Skinny,Skin 4,Face 2,No,Standard,Type 5,None,No,No,Team 3,Team 3,None,None,None,None,None,Style 1,Style 1,None,Non
Clark,Harris,TE,46,Rutgers,7/10/1984,Right,245,6' 5",Normal,Skin 1,Face 10,No,Revolution,Type 7,None,No,No,Team 1,Team 1,None,None,None,None,None,Style 3,Style 3,None,Whit
Terence,Newman,CB,23,Kansas State,9/4/1978,Right,192,5' 10",Normal,Skin 4,Face 6,No,Standard,Type 5,None,No,No,Team 3,Team 3,None,None,High White,High White,None,Style 3,Style 3,None,Non
Kevin,Zeitler,G,68,Wisconsin,3/8/1990,Right,315,6' 4",Large,Skin 1,Face 2,No,Standard,Type 10,None,No,No,Type 4,Type 4,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,Whit
Brandon,Thompson,DT,98,Clemson,10/19/1989,Right,325,6' 2",Extra Large,Skin 4,Face 4,No,Standard,Type 14,None,No,No,Team 1,Team 1,Single Team,Single Team,High White,High White,None,Style 6,Style 6,None,Non
Brandon,Tate,WR,19,North Carolina,10/5/1987,Right,195,6' 1",Normal,Skin 3,Face 6,No,Standard,Type 2,None,No,No,Team 3,Team 3,None,None,None,None,None,Style 6,Style 6,None,Non
Marvin,Jones,WR,82,California,3/12/1990,Right,195,6' 2",Skinny,Skin 2,Face 4,No,Standard,Type 5,None,No,No,Team 3,Team 3,None,None,None,None,None,Style 1,Style 1,None,Non
